DictWordID,PojUnicode,PojInput,KipUnicode,KipInput,HanLoTaibunPoj,PageNumber,PojNormalized,KipNormalized
1166,Koe-chih-hông,Koe-chih-hong5,Kue-tsih-hông,Kue-tsih-hong5,鷄舌黃,298,Koe-chih-hong,Kue-tsih-hong
1167,Keh-chiáu-hoe,Keh-chiau2-hoe,Keh-tsiáu-hue,Keh-tsiau2-hue,鵲鳥花,298,Keh-chiau-hoe,Keh-tsiau-hue
1168,Ū-chhì-chhiah-lân,U7-chhi3-chhiah-lan5,Ū-tshì-tshiah-lân,U7-tshi3-tshiah-lan5,有刺赤蘭,299,U-chhi-chhiah-lan,U-tshi-tshiah-lan
1169,Ló͘-hòa-chhiū,Loo2-hoa3-chhiu7,Lóo-huà-tshiū,Loo2-hua3-tshiu7,魯化樹,299,Lo-hoa-chhiu,Loo-hua-tshiu
1170,Sî-pió-á-hoe,Si5-pio2-a2-hoe,Sî-pió-á-hue,Si5-pio2-a2-hue,時錶仔花,300,Si-pio-a-hoe,Si-pio-a-hue
1171,Bo̍k-koa,Bok8-koa,Bo̍k-kua,Bok8-kua,木瓜,300,Bok-koa,Bok-kua
1172,Hoan-á-bo̍k-koa,Hoan-a2-bok8-koa,Huan-á-bo̍k-kua,Huan-a2-bok8-kua,番仔木瓜,300,Hoan-a-bok-koa,Huan-a-bok-kua
1173,Bān-siū-kó,Ban7-siu7-ko2,Bān-siū-kó,Ban7-siu7-ko2,萬壽果,300,Ban-siu-ko,Ban-siu-ko
1174,Mo͘h-piah-liân,Mooh-piah-lian5,Mooh-piah-liân,Mooh-piah-lian5,？壁蓮,302,Moh-piah-lian,Mooh-piah-lian
1175,Sian-pa-chiúⁿ,Sian-pa-chiunn2,Sian-pa-tsiúnn,Sian-pa-tsiunn2,仙巴掌,303,Sian-pa-chiu,Sian-pa-tsiunn
1176,Po͘-lûn-á,Poo-lun5-a2,Poo-lûn-á,Poo-lun5-a2,埔崙仔,303,Po-lun-a,Poo-lun-a
1177,Soaⁿ-po͘-lûn-á,Soann-poo-lun5-a2,Suann-poo-lûn-á,Suann-poo-lun5-a2,山埔崙仔,303,Soa-po-lun-a,Suann-poo-lun-a
1178,Po͘-lûn,Poo-lun5,Poo-lûn,Poo-lun5,埔崙,303,Po-lun,Poo-lun
1179,Khī-kô͘,Khi7-koo5,Khī-kôo,Khi7-koo5,柿糊,304,Khi-ko,Khi-koo
1180,Kiú-kiong,Kiu2-kiong,Kiú-kiong,Kiu2-kiong,九芎,304,Kiu-kiong,Kiu-kiong
1181,Chńg-kah-hoe,Chng2-kah-hoe,Tsńg-kah-hue,Tsng2-kah-hue,指甲花,305,Chng-kah-hoe,Tsng-kah-hue
1182,Chhâ-chńg-kah,Chha5-chng2-kah,Tshâ-tsńg-kah,Tsha5-tsng2-kah,柴指甲,305,Chha-chng-kah,Tsha-tsng-kah
1183,Hái-chóa-chîⁿ-ló͘,Hai2-choa2-chinn5-loo2,Hái-tsuá-tsînn-lóo,Hai2-tsua2-tsinn5-loo2,海紙錢魯,305,Hai-choa-chi-lo,Hai-tsua-tsinn-loo
