Id,Afrikaans,AfrikaansIPA,English
301,"Hooglied","/hˈʊəxlit/","Canticles, Song of Solomon, Song of Songs"
302,"Iberies","/ibˈiəris/","Iberian"
303,"Ier","/ˈir/","Irishman"
304,"Ierland","/ˈirlɐnt/","Ireland"
305,"Iers","/ˈirs/","Irish"
306,"Indiaan","/əndiˈɑːn/","Indian, American Indian"
307,"Indiaans","/əndiˈɑ̃ns/","Indian, Red Indian"
308,"Indies","/ˈəndis/","Indian"
309,"Indiese","/ˈəndisə/","tiger"
310,"Indië","/ˈəndiəiəə/","India"
311,"Indiër","/ˈəndiəiər/","Indian"
312,"Indo‐China","/ˈəndu ʃˈinɐ/","Indo‐China"
313,"Indo‐Europeaan","/ˈəndu øərʊəpˈiəɑːn/","Indo‐European"
314,"Indo‐Europees","/ˈəndu øərʊəpˈiəs/","1. Indo‐European❄2. Indo‐Germanic"
315,"Indo‐Europeër","/ˈəndu øərʊəpˈiər/","Indo‐European"
316,"Indo‐Germaans","/ˈəndu xærmˈɑ̃ns/","Indo‐European, Indo‐Germanic"
317,"Indo‐Sjina","/ˈəndu ʃˈinɐ/","Indo‐China"
318,"Indonesies","/əndunˈiːsis/","Indonesian"
319,"Indonesië","/əndunˈiːsiəiəə/","Indonesia"
320,"Indonesiër","/əndunˈiːsiəiər/","Indonesian"
321,"Ionies","/iˈʊənis/","Ionian"
322,"Iraaks","/ˈirɑːks/","Iraqi, Iraquian"
323,"Irak","/irˈɐk/","Iraq"
324,"Irakiër","/irˈɐkiəiər/","Iraqi, Iraquian"
325,"Iran","/irˈɐn/","Iran, Persia"
326,"Iranies","/irˈɐnis/","Iranian"
327,"Iraniër","/irˈɐniəiər/","Iranian, Persian"
328,"Islam","/ˈislɐm/","Islam"
329,"Islamities","/islɐmˈitis/","Islamic"
330,"Israel","/ˈəsraɪːl/","Israel"
331,"Israeli","/əsrˈɑɪli/","1. Israelian❄2. Israeli"
332,"Israelies","/əsraɪlˈis/","1. Israelian❄2. Israeli"
333,"Israeliet","/əsraɪlˈit/","1. Hebrew, Jew❄2. Israelite"
334,"Israelities","/əsraɪlˈitis/","Israelite, Israelitish"
335,"Istanboel","/ˈəstɐnbˌul/","Istanbul"
336,"Italiaan","/itɐliˈɑːn/","Italian"
337,"Italiaans","/itɐliˈɑ̃ns/","Italian"
338,"Italianer","/itɐliˈɑːnər/","Italian"
339,"Italië","/itˈɑːliə/","Italy"
340,"Jamaika","/jɐmˈaɪkɐ/","Jamaica"
341,"Januarie","/jˈɐnyˌɑːri/","January"
342,"Japan","/jɐpˈɐn/","Japan"
343,"Japannees","/jɐpɐnˈiəs/","Japanese"
344,"Japanner","/jɐpˈɐnər/","Japanese"
345,"Japans","/jɐpˈɐns/","Japanese"
346,"Java","/jˈɑːfɐ/","Java"
347,"Javaan","/jɐfˈɑːn/","Javanese"
348,"Javaans","/jɐfˈɑ̃ns/","Javan, Javanese"
349,"Jehova","/jəhˈʊəfɐ/","Jehovah"
350,"Jerusalem","/jərˈysɐlɛm/","Jerusalem"
351,"Johannesburg","/juhˈɐnəsbˌœrx/","Johannesburg"
352,"Jood","/jˈʊət/","Hebrew, Jew"
353,"Joods","/jˈʊəts/","Jewish"
354,"Jordaan","/jɔrdˈɑːn/","Jordan"
355,"Josef","/jˈʊəsəf/","Joseph"
356,"Julie","/jˈuli/","July"
357,"Junie","/jˈuni/","June"
358,"Kaapprovinsie","/kˈɑːprufˌənsi/","Cape Province"
359,"Kaaps","/kˈɑːps/","Cape"
360,"Kaapstad","/kˈɑːpstɐt/","Cape Town"
361,"Kaap","/kˈɑːp/","Cape of Good Hope"
362,"Kain","/kˈaɪn/","Cain"
363,"Kalifornië","/kɐləfˈɔrniəiəə/","California"
364,"Kalvarieberg","/kˈɐlvɐriˌiəbærx/","Calvary, Golgotha"
365,"Kameroen","/kˌɐmərˈun/","Cameroon"
366,"Kanada","/kˈɐnɐdɐ/","Canada"
367,"Kanadees","/kɐnɐdˈiəs/","Canadian"
368,"Kanaries","/kɐnˈɑːris/","Canary"
369,"Kanariese","/kɐnˈɑːrisə/","Canary Islands"
370,"Kapitool","/kˈɑːpitˌʊəl/","Capitol"
371,"Karmeliet","/kˈɐrmiəlˌit/","Carmelite"
372,"Karpate","/kˈɐrpɑːtə/","Carpathians, Carpathian mountains"
373,"Kaspiese","/kˈɐspisə/","Caspian Sea"
374,"Kastiliaans","/kˌɐstiliˈɑ̃ns/","Castillian"
375,"Kaukasus","/kˈəʊkɑːsˌœs/","Caucasus"
376,"Kaïro","/kɐˈiru/","Cairo"
377,"Kelt","/kˈælt/","Celt"
378,"Kelties","/kˈæltis/","1. Gaelic❄2. Celtic"
379,"Kenia","/kˈiːniˌɐ/","Kenya"
380,"Kersfees","/kˈærsfiəs/","1. Christmas, Christmas feast❄2. Yule"
381,"Kersmis","/kˈærsməs/","Christmas, Christmas feast"
382,"Kersvader","/kˈærsfɑːdər/","Father Christmas"
383,"Keulen","/kˈøələn/","Cologne"
384,"Klein‐Asië","/klˈɛɪn ˈɑːsiəiəə/","Asia Minor"
385,"Kongo","/kˈɔŋɡu/","Congo, Zaire"
386,"Konstantinopel","/kɔnstˈɐntinˌʊəpəl/","Istanbul"
387,"Kopenhagen","/kˈʊəpənhˌɑːxən/","Copenhagen"
388,"Korinthies","/kurˈənthis/","Corinthian"
389,"Kremlin","/krˈɛmlən/","Kremlin"
390,"Kreta","/krˈiətɐ/","Crete"
391,"Krim","/krˈəm/","Crimea"
392,"Krisjna","/krˈəʃnɐ/","Krishna"
393,"Kroaat","/krˈʊəɑːt/","Croat"
394,"Kroasië","/krˈʊəɐsˌiəiəə/","Croatia"
395,"Kroaties","/krˈʊəɑːtˌis/","Croatian"
396,"Kruisberg","/krˈøysbærx/","Calvary, Golgotha"
397,"Kuba","/kˈybɐ/","Cuba"
398,"Kubaan","/kybˈɑːn/","Cuban"
399,"Lap","/lˈɐp/","Laplander, Lapp"
400,"Lapland","/lˈɐplɐnt/","Lapland"
401,"Laplander","/lˈɐplɐndər/","Laplander, Lapp"
402,"Laplands","/lˈɐplɐnts/","Lapp, Lappish"
403,"Latyn","/lɐtˈɛɪn/","Latin"
404,"Latyns","/lɐtˈɛɪns/","Latin"
405,"Leiden","/lˈɛɪdən/","Leyden"
406,"Let","/lˈɛt/","Latvian, Lett"
407,"Letland","/lˈɛtlɐnt/","Latvia"
408,"Lets","/lˈɛts/","Latvian, Lettish"
409,"Libanon","/lˈibɑːnˌɔn/","Lebanon"
410,"Liberië","/ləbˈiəriəiəə/","Liberia"
411,"Libies","/lˈibis/","Libyan"
412,"Libië","/lˈibiəiəə/","Libya"
413,"Libiër","/lˈibiəiər/","Libyan"
414,"Lissabon","/lˈəsɑːbˌɔn/","Lisbon"
415,"Litaue","/lˈitəʊə/","Lithuania"
416,"Litauer","/lˈitaʊər/","Lithuanian"
417,"Litaus","/lˈitəʊs/","Lithuanian"
418,"Londen","/lˈɔndən/","London"
419,"Lotaringe","/lˈʊətɑːrəŋə/","Lorraine, Lothringen"
420,"Lucifer","/lˈysifər/","1. Lucifer❄2. Satan"
421,"Luik","/lˈøyk/","Liège"
422,"Lusern","/lusˈæːrən/","Lucerne"
423,"Lyfland","/lˈɛɪflɐnt/","Livonia"
424,"Lyflands","/lˈɛɪflɐnts/","Livonian"
425,"Maandag","/mˈɑːndɐx/","Monday"
426,"Maart","/mˈɑːrt/","March"
427,"Macedonië","/mˌɐsədˈʊəniə/","Macedonia"
428,"Machiavelli","/mɐkiɐvˈɛli/","Machiavelli"
429,"Madagaskar","/mˌɐdɐxˈɐskɐr/","Madagascar"
430,"Madonna","/mɐdˈɔnɐ/","Madonna"
431,"Madrid","/mɐdrˈət/","Madrid"
432,"Malakka","/mˈɑːlɐkˌɐ/","Malacca"
433,"Maleis","/mɐlˈɛɪs/","Malay"
434,"Malta","/mˈɐltɐ/","Malta"
435,"Maltees","/mˈɐltiəs/","Maltese"
436,"Malteser","/mɐltˈiəsər/","Maltese"
437,"Mantsjoerye","/mˈɐntʃuːrˌɛɪə/","Manchuria"
438,"Maria‐ligmis","/mɐrˈiɐ lˈəxməs/","Candlemas"
439,"Marokkaan","/mɐrˈɔkɑːn/","Moroccan"
440,"Marokkaans","/mɐrɔkˈɑ̃ns/","Moroccan"
441,"Marokko","/mɐrˈɔku/","Morocco"
442,"Mei","/mˈɛɪ/","May"
443,"Mekka","/mˈækɐ/","Mecca"
444,"Melanesies","/mˈiəlɑːnˌiəsis/","Melanesian"
445,"Melanesië","/mˈiəlɑːnˌiəsiəiəə/","Melanesia"
446,"Melanesiër","/mˈiəlɑːnˌiəsiəiər/","Melanesian"
447,"Mexikaans","/mˌɛksikˈɑ̃ns/","Mexican"
448,"Mexiko","/mˈɛksiku/","Mexico"
449,"Moedermaagd","/mˈudərmˌɑːxt/","Madonna"
450,"Mohammedaans","/muhɐmədˈɑ̃ns/","Islamic"
451,"Mohammedanisme","/muhɐmədɑːnˈəsmə/","Islam"
452,"Mongolië","/mɔŋxulˈiəiəə/","Mongolia"
453,"Montenegro","/mˈɔntənəxru/","Montenegro"
454,"Montenegryn","/mˈɔntənəxrˌɛɪn/","Montenegrin"
455,"Montenegryns","/mˈɔntənəxrˌɛɪns/","Montenegrin"
456,"Mosambiek","/mʊəsɐmbˈik/","Mozambique"
457,"Moskowiet","/mˈɔskʊəvˌit/","Muscovite"
458,"Namen","/nˈɑːmən/","Namur"
