id,poj_unicode,poj_input,kip_unicode,kip_input,abbreviations,noun_classifiers,reduplication,hoabun,english,synonym,cf,page_number,poj_normalized
14446,Ji̍t-jîn,Jit8-jin5,Ji̍t-jîn,Jit8-jin5,N,ê,,日人,Japanese person,,,118,Jit-jin
14447,ji̍t-kan,jit8-kan,ji̍t-kan,jit8-kan,Nt,,,白天,daytime,,,118,jit-kan
14448,ji̍t-kì,jit8-ki3,ji̍t-kì,jit8-ki3,N,pún,,日記,diary,,,118,jit-ki
14449,ji̍t-kî,jit8-ki5,ji̍t-kî,jit8-ki5,N,,,日期,"date, fixed time",,,118,jit-ki
14450,ji̍t-kî,jit8-ki5,ji̍t-kî,jit8-ki5,N,,,日期,period of time,,,118,jit-ki
14451,ji̍t-kip,jit8-kip,ji̍t-kip,jit8-kip,N,,,日薪,daily wage,,,118,jit-kip
14452,ji̍t-kiû,jit8-kiu5,ji̍t-kiû,jit8-kiu5,N,,,太陽,the sun (as a) ball,,,118,jit-kiu
14453,ji̍t-kng/kong,jit8-kng/kong,ji̍t-kng/kong,jit8-kng/kong,N,,,日光,"sunlight, sunshine",,,118,jit-kng/kong
14454,ji̍t-kong-e̍k,jit8-kong-ek8,ji̍t-kong-i̍k,jit8-kong-ik8,N,,,日光浴,sun-bath,,,118,jit-kong-ek
14455,ji̍t-kong-teng,jit8-kong-teng,ji̍t-kong-ting,jit8-kong-ting,N,ki,,日光燈,flourescent (daylight) lamp,,,118,jit-kong-teng
14456,ji̍t-kú ge̍h-tn̂g,jit8-ku2 geh8-tng5,ji̍t-kú ge̍h-tn̂g,jit8-ku2 geh8-tng5,Sph,,,天長地久,"(for) a long time, (for) as long as the sun and moon endure",,,118,jit-ku geh-tn̂g
14457,ji̍t-khan,jit8-khan,ji̍t-khan,jit8-khan,N,,,日刊,a daily publication,,,118,jit-khan
14458,ji̍t-le̍k,jit8-lek8,ji̍t-li̍k,jit8-lik8,N,ê,,日曆,calendar with a page for each day,,,118,jit-lek
14459,ji̍t-lo̍h,jit8-loh8,ji̍t-lo̍h,jit8-loh8,N,,,日落,sunset (cf jit8-chhut),,,119,jit-loh
14460,ji̍t-mî,jit8-mi5,ji̍t-mî,jit8-mi5,Nt,,,日夜,"day and night, (at) all times",,,119,jit-mi
14461,ji̍t-pò,jit8-po3,ji̍t-pò,jit8-po3,N,phō,,日報,morning paper,,,119,jit-po
14462,Ji̍t-pún,Jit8-pun2,Ji̍t-pún,Jit8-pun2,N,,,日本,Japan,,,119,Jit-pun
14463,Ji̍t-pún,Jit8-pun2,Ji̍t-pún,Jit8-pun2,Nmod,,,日本,Japanese,,,119,Jit-pun
14464,Ji̍t-pún-chhú,Jit8-pun2-chhu2,Ji̍t-pún-tshú,Jit8-pun2-tshu2,N/Ich,bé,,日本紫魚,"Japanese amchovy, long-jawed herring, Engraulis japonicus",,,119,Jit-pun-chhu
14465,Ji̍t-pún pe̍k-kháu,Jit8-pun2 pek8-khau2,Ji̍t-pún pi̍k-kháu,Jit8-pun2 pik8-khau2,N/Ich,bé,,日本白口,"a kind of croaker fish, Argyrosomus",,,119,Jit-pun pek-khau
14466,Ji̍t-pún-sam,Jit8-pun2-sam,Ji̍t-pún-sam,Jit8-pun2-sam,N,châng,,柳杉,"Japanese cedar, peacock pine, willow fir, Cryptomeria japonica",,,119,Jit-pun-sam
14467,Ji̍t-pún tōa-hoe chek-lêng,Jit8-pun2 toa7-hoe chek-leng5,Ji̍t-pún tuā-hue tsik-lîng,Jit8-pun2 tua7-hue tsik-ling5,N/Orn,chiah,,日本大花鴶鴒,"Japanese pied wagtail, Motacilla alba grandis",,,119,Jit-pun toa-hoe chek-leng
14468,Ji̍t-sam,Jit8-sam,Ji̍t-sam,Jit8-sam,N,châng,,柳杉,"Japnaese cedar, peacock pine, willow fir, Cryptomeria japonica",,,119,Jit-sam
14469,ji̍t-sî,jit8-si5,ji̍t-sî,jit8-si5,Nt,,,白天,daytime,,,119,jit-si
14470,ji̍t-siā-pīⁿ,jit8-sia7-pinn7,ji̍t-siā-pīnn,jit8-sia7-pinn7,N/Med,,,中暑,sunstroke,,,119,jit-sia-pi
14471,ji̍t-siông,jit8-siong5,ji̍t-siông,jit8-siong5,Nmod,,,日常,daily,,,119,jit-siong
14472,ji̍t-sit,jit8-sit,ji̍t-sit,jit8-sit,N,,,日蝕,an eclipse of the sun,,,119,jit-sit
14473,ji̍t-sit,jit8-sit,ji̍t-sit,jit8-sit,V,,,日蝕,have an eclipse of the sun,,,119,jit-sit
14474,ji̍t-si̍t,jit8-sit8,ji̍t-si̍t,jit8-sit8,N,,,日常食品,daily food,,,119,jit-sit
14475,ji̍t-sòaⁿ,jit8-soann3,ji̍t-suànn,jit8-suann3,N,,,日光,solar rays,,,119,jit-soa
14476,ji̍t-tàu,jit8-tau3,ji̍t-tàu,jit8-tau3,Nt,,,中午,noon,,,119,jit-tau
14477,ji̍t-tàu-tǹg,jit8-tau3-tng3,ji̍t-tàu-tǹg,jit8-tau3-tng3,Nt,,,午餐,"noon meal, lunch",,,119,jit-tau-tng
14478,ji̍t-tiong-tàu,jit8-tiong-tau3,ji̍t-tiong-tàu,jit8-tiong-tau3,Nt,,,中午,noon,,,119,jit-tiong-tau
14479,ji̍t-thâu,jit8-thau5,ji̍t-thâu,jit8-thau5,N,lia̍p,,日頭,the sun,,,119,jit-thau
14480,ji̍t-thêng/ji̍t-thêng-pió,jit8-theng5/jit8-theng5-pio2,ji̍t-thîng/ji̍t-thîng-pió,jit8-thing5/jit8-thing5-pio2,N,,,日程(表),daily schedule (written or printed),,,119,jit-theng/jit-theng-pio
14481,ji̍t-thiah,jit8-thiah,ji̍t-thiah,jit8-thiah,N,ê,,日曆,calendar with a page for each day,,,119,jit-thiah
14482,jiû,jiu5,jiû,jiu5,V,,,擦洗,"scrub (body, floor, etc)",,,119,jiu
14483,jiû-hî,jiu5-hi5,jiû-hî,jiu5-hi5,N,,,鰇魚,"dried Formosan squid, Loligo formosana",,,119,jiu-hi
14484,jiû-hô,jiu5-ho5,jiû-hô,jiu5-ho5,SV,,,柔和,"soft and gentle, meek and mild (voice, character, etc)",,,119,jiu-ho
14485,jiû-loán,jiu5-loan2,jiû-luán,jiu5-luan2,SV,,,柔軟,"limber (muscles), soft and yielding (bed, sofa)",,,119,jiu-loan
14486,jiû-laón-thé-chhau,jiu5-laon2-the2-chhau,jiû-láon-thé-tshau,jiu5-laon2-the2-tshau,N,,,柔軟體操,"calisthenics, limbering-up exercises",,,119,jiu-laon-the-chhau
14487,jiû-n̂g,jiu5-ng5,jiû-n̂g,jiu5-ng5,N,,,硫磺,"sulfur, S",,,119,jiu-n̂g
14488,jiû-n̂g-hé,jiu5-ng5-he2,jiû-n̂g-hé,jiu5-ng5-he2,N/Bib,,,硫磺火,fire and brimstone,,,119,jiu-n̂g-he
